Sno,Date,Time,State/ UnionTerritory,Confirmed Indian National,Confirmed Foreign National,Cured,Deaths,Confirmed
366,26-03-2020,06:00 PM,Andaman and Nicobar Islands,1,0,0,0,1
393,27-03-2020,10:00 AM,Andaman and Nicobar Islands,1,0,0,0,1
421,28-03-2020,06:00 PM,Andaman and Nicobar Islands,6,0,0,0,6
448,29-03-2020,07:30 PM,Andaman and Nicobar Islands,0,0,0,0,9
475,30-03-2020,09:30 PM,Andaman and Nicobar Islands,0,0,0,0,9
503,31-03-2020,08:30 PM,Andaman and Nicobar Islands,0,0,0,0,10
531,01-04-2020,07:30 PM,Andaman and Nicobar Islands,0,0,1,0,10
122,12-03-2020,06:00 PM,Andhra Pradesh,1,0,0,0,1
135,13-03-2020,06:00 PM,Andhra Pradesh,1,0,0,0,1
148,14-03-2020,06:00 PM,Andhra Pradesh,1,0,0,0,1
149,15-03-2020,06:00 PM,Andhra Pradesh,1,0,0,0,1
163,16-03-2020,06:00 PM,Andhra Pradesh,1,0,0,0,1
178,17-03-2020,06:00 PM,Andhra Pradesh,1,0,0,0,1
193,18-03-2020,06:00 PM,Andhra Pradesh,1,0,0,0,1
210,19-03-2020,06:00 PM,Andhra Pradesh,2,0,0,0,2
229,20-03-2020,06:00 PM,Andhra Pradesh,3,0,0,0,3
249,21-03-2020,06:00 PM,Andhra Pradesh,3,0,0,0,3
271,22-03-2020,06:00 PM,Andhra Pradesh,5,0,0,0,5
294,23-03-2020,06:00 PM,Andhra Pradesh,7,0,0,0,7
317,24-03-2020,06:00 PM,Andhra Pradesh,8,0,0,0,8
341,25-03-2020,06:00 PM,Andhra Pradesh,9,0,1,0,9
367,26-03-2020,06:00 PM,Andhra Pradesh,11,0,1,0,11
394,27-03-2020,10:00 AM,Andhra Pradesh,12,0,1,0,12
420,28-03-2020,06:00 PM,Andhra Pradesh,14,0,1,0,14
447,29-03-2020,07:30 PM,Andhra Pradesh,0,0,1,0,19
474,30-03-2020,09:30 PM,Andhra Pradesh,0,0,1,0,23
502,31-03-2020,08:30 PM,Andhra Pradesh,0,0,1,0,40
530,01-04-2020,07:30 PM,Andhra Pradesh,0,0,0,0,83
532,01-04-2020,07:30 PM,Assam,0,0,0,0,1
272,22-03-2020,06:00 PM,Bihar,2,0,0,1,2
295,23-03-2020,06:00 PM,Bihar,2,0,0,1,2
318,24-03-2020,06:00 PM,Bihar,3,0,0,1,3
342,25-03-2020,06:00 PM,Bihar,4,0,0,1,4
368,26-03-2020,06:00 PM,Bihar,6,0,0,1,6
395,27-03-2020,10:00 AM,Bihar,6,0,0,1,6
422,28-03-2020,06:00 PM,Bihar,9,0,0,1,9
449,29-03-2020,07:30 PM,Bihar,0,0,0,1,11
476,30-03-2020,09:30 PM,Bihar,0,0,0,1,15
504,31-03-2020,08:30 PM,Bihar,0,0,0,1,15
533,01-04-2020,07:30 PM,Bihar,0,0,0,1,23
